*****************************************************************************
ParFlow Output Log
		v3.3.0
	Compiled on    : Nov 30 2018 05:06:19
*****************************************************************************
==============================================
BEGIN Log Info (MGSemi)

coarsening direction
--------------------
        x
         y
        x
         y
        x
         y
        x
         y
        x

END Log Info
==============================================
==============================================
BEGIN Log Info (SolverRichards)

Transient Problem Solved.
-------------------------

Total Timesteps: 180

-------------------------
Sequence #       Time         \Delta t         Dumpfile #   Recompute?
  000137     1.370000e+02   1.000000e+00
  000138     1.380000e+02   1.000000e+00
  000139     1.390000e+02   1.000000e+00
  000140     1.400000e+02   1.000000e+00
  000141     1.410000e+02   1.000000e+00
  000142     1.420000e+02   1.000000e+00
  000143     1.430000e+02   1.000000e+00
  000144     1.440000e+02   1.000000e+00
  000145     1.450000e+02   1.000000e+00
  000146     1.460000e+02   1.000000e+00
  000147     1.470000e+02   1.000000e+00
  000148     1.480000e+02   1.000000e+00
  000149     1.490000e+02   1.000000e+00
  000150     1.500000e+02   1.000000e+00
  000151     1.510000e+02   1.000000e+00
  000152     1.520000e+02   1.000000e+00
  000153     1.530000e+02   1.000000e+00
  000154     1.540000e+02   1.000000e+00
  000155     1.550000e+02   1.000000e+00
  000156     1.560000e+02   1.000000e+00
  000157     1.570000e+02   1.000000e+00
  000158     1.580000e+02   1.000000e+00
  000159     1.590000e+02   1.000000e+00
  000160     1.600000e+02   1.000000e+00
  000161     1.610000e+02   1.000000e+00
  000162     1.620000e+02   1.000000e+00
  000163     1.630000e+02   1.000000e+00
  000164     1.640000e+02   1.000000e+00
  000165     1.650000e+02   1.000000e+00
  000166     1.660000e+02   1.000000e+00
  000167     1.670000e+02   1.000000e+00
  000168     1.680000e+02   1.000000e+00
  000169     1.690000e+02   1.000000e+00
  000170     1.700000e+02   1.000000e+00
  000171     1.710000e+02   1.000000e+00
  000172     1.720000e+02   1.000000e+00
  000173     1.730000e+02   1.000000e+00
  000174     1.740000e+02   1.000000e+00
  000175     1.750000e+02   1.000000e+00
  000176     1.760000e+02   1.000000e+00
  000177     1.770000e+02   1.000000e+00
  000178     1.780000e+02   1.000000e+00
  000179     1.790000e+02   1.000000e+00
  000180     1.800000e+02   1.000000e+00

END Log Info
==============================================
==============================================
BEGIN Log Info (Globals)

Run Name: catchment
Logging Level = 1
Num processes = 1
Process grid = (1,1,1)

END Log Info
==============================================
==============================================
BEGIN Log Info (ParFlow Total Time)

Total Run Time: 129.919300 seconds

Maximum memory used on processor 0 : 13 MB


BEGIN(Contents of /proc/10911/status)
Name:	parflow
Umask:	0002
State:	R (running)
Tgid:	10911
Ngid:	0
Pid:	10911
PPid:	10909
TracerPid:	0
Uid:	1000	1000	1000	1000
Gid:	1000	1000	1000	1000
FDSize:	64
Groups:	4 24 27 30 46 113 128 1000 
NStgid:	10911
NSpid:	10911
NSpgid:	10911
NSsid:	10364
VmPeak:	  254652 kB
VmSize:	  254652 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	   24736 kB
VmRSS:	   24736 kB
RssAnon:	   14568 kB
RssFile:	   10168 kB
RssShmem:	       0 kB
VmData:	   26080 kB
VmStk:	     136 kB
VmExe:	    3136 kB
VmLib:	   36788 kB
VmPTE:	     352 kB
VmPMD:	      12 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
Threads:	2
SigQ:	0/31610
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	0000000000000000
SigIgn:	0000000000000000
SigCgt:	00000001800004e0
CapInh:	0000000000000000
CapPrm:	0000000000000000
CapEff:	0000000000000000
CapBnd:	0000003fffffffff
CapAmb:	0000000000000000
NoNewPrivs:	0
Seccomp:	0
Cpus_allowed:	00000000,00000000,00000000,00000001
Cpus_allowed_list:	0
